,Community Area Number,Ward,Police District,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Asian_Pacific_Islander,Student_Count_Hawaiian_Pacific_Islander,Overall_Rating,School_Survey_Safety,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),# of Police Notifications,% of Misconducts Resulting in a Police Notification,count_of_scores
0,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,21,5,15,1,20,0,0.0,1288
1,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,13,3,6,4,10,2,15.4,1288
2,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,17,2,7,8,20,0,0.0,1288
3,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,2,0,1,1,1,0,0.0,1288
4,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,39,11,19,9,32,0,0.0,1288
5,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,14,6,6,2,12,0,0.0,1288
6,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,11,1,7,3,10,0,0.0,1288
7,30,12,10,ES,60623,234,196,40,30,198,2,0,0,0,0,Level 1,3,32,6,15,11,13,0,0.0,1288
8,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,6,0,4,2,6,1,16.7,1723
9,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,64,20,40,4,24,2,3.1,1723
10,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,56,5,45,6,36,2,3.6,1723
11,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,24,3,15,6,14,1,4.2,1723
12,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,3,0,1,2,4,1,33.3,1723
13,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,26,0,8,18,14,3,11.5,1723
14,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,17,6,9,2,8,6,35.3,1723
15,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,1,0,1,0,0,0,0.0,1723
16,19,30,25,ES,60634,769,584,124,13,697,37,12,1,0,2,Level 1,2,22,0,21,1,12,2,9.1,1723
17,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,36,9,26,1,35,0,0.0,1288
18,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,70,47,22,1,23,0,0.0,1288
19,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,83,43,40,0,14,2,2.4,1288
20,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,270,231,36,3,84,5,1.9,1288
21,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,89,81,8,0,15,1,1.1,1288
22,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,53,34,17,2,22,0,0.0,1288
23,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,85,32,52,1,17,2,2.4,1288
24,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,2,2,0,0,0,0,0.0,1288
25,4,47,20,ES,60625,539,182,85,33,216,225,26,2,0,0,Level 1,3,148,79,65,4,16,0,0.0,1288
26,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,225,58,128,39,233,10,4.4,1288
27,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,327,155,144,28,216,10,3.1,1288
28,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,413,259,136,18,249,2,0.5,1288
29,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,72,25,39,8,40,4,5.6,1288
30,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,94,37,45,12,67,2,2.1,1288
31,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,86,43,31,12,30,3,3.5,1288
32,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,33,10,15,8,8,6,18.2,1288
33,23,26,25,ES,60651,560,487,73,135,417,3,1,1,0,0,Level 2+,3,9,1,3,5,8,2,22.2,1288
34,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,30,16,12,2,8,3,10.0,1723
35,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,15,1,9,5,10,3,20.0,1723
36,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,17,0,13,4,16,2,11.8,1723
37,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,5,0,4,1,3,0,0.0,1723
38,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,1,0,1,0,0,1,100.0,1723
39,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,49,22,24,3,17,0,0.0,1723
40,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,100,1,88,11,95,3,3.0,1723
41,67,15,7,ES,60636,132,92,27,112,19,0,0,0,0,0,Level 1,2,38,17,18,3,20,0,0.0,1723
42,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,39,16,16,7,33,3,7.7,1288
43,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,41,14,20,7,12,5,12.2,1288
44,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,23,10,10,3,7,0,0.0,1288
45,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,15,2,6,7,7,1,6.7,1288
46,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,25,5,15,5,8,2,8.0,1288
47,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,16,2,4,10,6,3,18.8,1288
48,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,25,0,5,20,16,6,24.0,1288
49,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,1,0,1,0,0,0,0.0,1288
50,19,29,25,ES,60639,698,564,135,34,641,13,4,4,0,0,Level 1+,3,60,17,28,15,30,5,8.3,1288
51,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,42,41,1,0,7,0,0.0,1288
52,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,32,31,1,0,2,0,0.0,1288
53,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,72,67,5,0,6,0,0.0,1288
54,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,50,46,4,0,0,0,0.0,1288
55,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,19,18,1,0,2,0,0.0,1288
56,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,19,18,0,1,0,0,0.0,1288
57,44,21,6,ES,60620,290,74,6,182,14,40,43,0,0,0,Level 1+,3,7,7,0,0,0,0,0.0,1288
58,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,178,139,29,10,61,5,2.8,1723
59,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,169,131,33,5,58,0,0.0,1723
60,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,96,85,9,2,21,2,2.1,1723
61,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,57,52,0,5,11,0,0.0,1723
62,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,10,6,4,0,0,0,0.0,1723
63,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,2,1,1,0,0,0,0.0,1723
64,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,30,17,9,4,8,4,13.3,1723
65,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,130,55,61,14,53,7,5.4,1723
66,46,10,4,ES,60617,274,231,80,221,49,2,0,1,0,0,Level 2+,2,679,421,230,28,150,7,1.0,1723
67,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,167,18,131,18,97,2,1.2,1723
68,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,137,30,90,17,57,3,2.2,1723
69,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,63,35,22,6,17,3,4.8,1723
70,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,42,17,23,2,18,3,7.1,1723
71,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,53,18,31,4,20,2,3.8,1723
72,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,27,11,15,1,3,2,7.4,1723
73,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,3,0,2,1,1,1,33.3,1723
74,29,24,10,ES,60623,215,188,38,210,5,0,0,0,0,0,Level 2,2,30,2,7,21,25,18,60.0,1723
75,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,106,28,67,11,77,6,5.7,1723
76,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,236,112,110,14,129,19,8.1,1723
77,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,174,122,49,3,36,8,4.6,1723
78,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,66,22,40,4,16,7,10.6,1723
79,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,125,64,53,8,6,4,3.2,1723
80,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,21,11,8,2,11,0,0.0,1723
81,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,28,11,13,4,9,0,0.0,1723
82,54,9,5,ES,60827,232,199,36,224,8,0,0,0,0,0,Level 2+,2,39,8,26,5,16,0,0.0,1723
83,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,24,10,13,1,5,0,0.0,356
84,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,26,18,8,0,6,0,0.0,356
85,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,2,0,2,0,2,0,0.0,356
86,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,7,5,2,0,4,0,0.0,356
87,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,19,5,5,9,7,1,5.3,356
88,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,28,13,11,4,9,0,0.0,356
89,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,13,0,12,1,2,0,0.0,356
90,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,1,0,1,0,1,0,0.0,356
91,7,43,18,ES,60614,803,82,48,78,79,473,103,0,0,1,Level 1+,4,35,16,19,0,1,0,0.0,356
92,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,159,74,73,12,102,14,8.8,1723
93,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,107,73,29,5,30,13,12.1,1723
94,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,46,34,11,1,8,3,6.5,1723
95,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,40,31,8,1,9,7,17.5,1723
96,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,51,44,5,2,9,5,9.8,1723
97,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,12,6,6,0,0,1,8.3,1723
98,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,20,5,13,2,1,1,5.0,1723
99,29,24,10,ES,60623,222,166,45,204,16,1,0,1,0,0,Level 1,2,21,1,14,6,9,3,14.3,1723
100,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,68,29,36,3,22,2,2.9,356
101,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,69,53,16,0,13,0,0.0,356
102,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,207,139,64,4,39,0,0.0,356
103,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,176,150,20,6,16,0,0.0,356
104,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,66,55,10,1,4,1,1.5,356
105,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,28,17,10,1,3,1,3.6,356
106,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,9,7,2,0,3,0,0.0,356
107,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,4,0,4,0,0,0,0.0,356
108,24,32,13,ES,60622,279,115,12,30,65,173,6,0,0,0,Level 1,4,32,20,10,2,4,0,0.0,356
109,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,105,63,38,4,49,0,0.0,1723
110,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,148,120,27,1,40,0,0.0,1723
111,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,59,43,14,2,24,1,1.7,1723
112,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,17,15,2,0,0,0,0.0,1723
113,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,54,43,11,0,2,3,5.6,1723
114,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,34,28,6,0,1,0,0.0,1723
115,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,3,1,2,0,2,0,0.0,1723
116,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,9,9,0,0,0,0,0.0,1723
117,63,14,8,ES,60629,744,596,55,12,717,8,0,6,0,0,Level 1+,2,15,14,1,0,0,0,0.0,1723
118,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,1685,906,639,140,1261,28,1.7,289
119,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,760,252,283,225,406,33,4.3,289
120,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,934,432,312,190,227,26,2.8,289
121,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,599,188,230,181,112,61,10.2,289
122,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,260,59,116,85,55,36,13.8,289
123,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,266,95,94,77,39,22,8.3,289
124,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,168,29,66,73,61,28,16.7,289
125,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,12,9,3,0,0,0,0.0,289
126,27,28,11,HS,60612,68,53,31,62,6,0,0,0,0,0,Level 2,1,185,14,91,80,79,17,9.2,289
127,13,40,17,HS,60625,1041,370,95,58,298,397,217,4,0,8,Level 1+,4,17,11,4,2,4,1,5.9,356
128,13,40,17,HS,60625,1041,370,95,58,298,397,217,4,0,8,Level 1+,4,87,49,35,3,7,5,5.7,356
129,13,40,17,HS,60625,1041,370,95,58,298,397,217,4,0,8,Level 1+,4,131,73,50,8,13,4,3.1,356
130,13,40,17,HS,60625,1041,370,95,58,298,397,217,4,0,8,Level 1+,4,148,92,48,8,15,0,0.0,356
131,13,40,17,HS,60625,1041,370,95,58,298,397,217,4,0,8,Level 1+,4,67,32,31,4,6,0,0.0,356
