,School_ID,Name of School,ZIP Code,Community Area Number,Community Area Name,Ward,Police District,Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Asian_Pacific_Islander,Student_Count_Hawaiian_Pacific_Islander,Statistics_Description,Demographic_Description,Overall_Rating,School_Latitude,School_Longitude,Location,School_Survey_Safety,Chronic_Truancy_Pct,count
0,609966,Charles G Hammond Elementary School,60623,30,SOUTH LAWNDALE,12,10,Charles G Hammond Elementary School,ES,60623,234,196,40,30,198,2,0,0,0,0,There are 234 students enrolled at HAMMOND.  83.8% are Low Income Students.  17.1% are Diverse Learners.  33.8% are Limited English Learners.,The largest demographic at HAMMOND is Hispanic.  This demographic makes up 84.6% of the student population.  The second greatest demographic is Black at 12.8%.,Level 1,41.852719,-87.696243,POINT (-87.696243 41.852719),3,48.9,193
1,610539,Marvin Camras Elementary School,60634,19,BELMONT CRAGIN,30,25,Marvin Camras Elementary School,ES,60634,769,584,124,13,697,37,12,1,0,2,There are 769 students enrolled at CAMRAS.  75.9% are Low Income Students.  16.1% are Diverse Learners.  46% are Limited English Learners.,The largest demographic at CAMRAS is Hispanic.  This demographic makes up 90.6% of the student population.  The second greatest demographic is White at 4.8%.,Level 1,41.934931,-87.770127,POINT (-87.770127 41.934931),2,38.1,274
2,609852,Eliza Chappell Elementary School,60625,4,LINCOLN SQUARE,47,20,Eliza Chappell Elementary School,ES,60625,539,182,85,33,216,225,26,2,0,0,There are 539 students enrolled at CHAPPELL.  33.8% are Low Income Students.  15.8% are Diverse Learners.  14.5% are Limited English Learners.,The largest demographic at CHAPPELL is White.  This demographic makes up 41.7% of the student population.  The second greatest demographic is Hispanic at 40.1%.,Level 1,41.975894,-87.683264,POINT (-87.683264 41.975894),3,17.2,193
3,609835,Daniel R Cameron Elementary School,60651,23,HUMBOLDT PARK,26,25,Daniel R Cameron Elementary School,ES,60651,560,487,73,135,417,3,1,1,0,0,There are 560 students enrolled at CAMERON.  87% are Low Income Students.  13% are Diverse Learners.  35% are Limited English Learners.,The largest demographic at CAMERON is Hispanic.  This demographic makes up 74.5% of the student population.  The second greatest demographic is Black at 24.1%.,Level 2+,41.903792,-87.717927,POINT (-87.717927 41.903792),3,36.7,193
4,610521,Sir Miles Davis Magnet Elementary Academy,60636,67,WEST ENGLEWOOD,15,7,Sir Miles Davis Magnet Elementary Academy,ES,60636,132,92,27,112,19,0,0,0,0,0,There are 132 students enrolled at DAVIS M.  69.7% are Low Income Students.  20.5% are Diverse Learners.  8.3% are Limited English Learners.,The largest demographic at DAVIS M is Black.  This demographic makes up 84.8% of the student population.  The second greatest demographic is Hispanic at 14.4%.,Level 1,41.771221,-87.66653,POINT (-87.66653 41.771221),2,36.4,274
5,609818,Luther Burbank Elementary School,60639,19,BELMONT CRAGIN,29,25,Luther Burbank Elementary School,ES,60639,698,564,135,34,641,13,4,4,0,0,There are 698 students enrolled at BURBANK.  80.8% are Low Income Students.  19.3% are Diverse Learners.  52.4% are Limited English Learners.,The largest demographic at BURBANK is Hispanic.  This demographic makes up 91.8% of the student population.  The second greatest demographic is Black at 4.9%.,Level 1+,41.917598,-87.7827,POINT (-87.7827 41.917598),3,37.3,193
6,610298,Lenart Elementary Regional Gifted Center,60620,44,CHATHAM,21,6,Lenart Elementary Regional Gifted Center,ES,60620,290,74,6,182,14,40,43,0,0,0,There are 290 students enrolled at LENART.  25.5% are Low Income Students.  2.1% are Diverse Learners.  1% are Limited English Learners.,The largest demographic at LENART is Black.  This demographic makes up 62.8% of the student population.  The second greatest demographic is Asian at 14.8%.,Level 1+,41.747186,-87.62804,POINT (-87.62804 41.747186),3,12.7,193
7,610200,James N Thorp Elementary School,60617,46,SOUTH CHICAGO,10,4,James N Thorp Elementary School,ES,60617,274,231,80,221,49,2,0,1,0,0,There are 274 students enrolled at THORP J.  84.3% are Low Income Students.  29.2% are Diverse Learners.  11.7% are Limited English Learners.,The largest demographic at THORP J is Black.  This demographic makes up 80.7% of the student population.  The second greatest demographic is Hispanic at 17.9%.,Level 2+,41.733324,-87.54428,POINT (-87.54428 41.733324),2,60.3,274
8,610056,Roswell B Mason Elementary School,60623,29,NORTH LAWNDALE,24,10,Roswell B Mason Elementary School,ES,60623,215,188,38,210,5,0,0,0,0,0,There are 215 students enrolled at MASON.  87.4% are Low Income Students.  17.7% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at MASON is Black.  This demographic makes up 97.7% of the student population.  The second greatest demographic is Hispanic at 2.3%.,Level 2,41.856864,-87.731672,POINT (-87.731672 41.856864),2,51.5,274
9,609848,Ira F Aldridge Elementary School,60827,54,RIVERDALE,9,5,Ira F Aldridge Elementary School,ES,60827,232,199,36,224,8,0,0,0,0,0,There are 232 students enrolled at ALDRIDGE.  85.8% are Low Income Students.  15.5% are Diverse Learners.  0.9% are Limited English Learners.,The largest demographic at ALDRIDGE is Black.  This demographic makes up 96.6% of the student population.  The second greatest demographic is Hispanic at 3.4%.,Level 2+,41.657405,-87.606474,POINT (-87.606474 41.657405),2,73.7,274
10,610038,Abraham Lincoln Elementary School,60614,7,LINCOLN PARK,43,18,Abraham Lincoln Elementary School,ES,60614,803,82,48,78,79,473,103,0,0,1,There are 803 students enrolled at LINCOLN.  10.2% are Low Income Students.  6% are Diverse Learners.  7.1% are Limited English Learners.,The largest demographic at LINCOLN is White.  This demographic makes up 58.9% of the student population.  The second greatest demographic is Asian at 12.8%.,Level 1+,41.924525,-87.644497,POINT (-87.644497 41.924525),4,13.9,49
11,610123,William Penn Elementary School,60623,29,NORTH LAWNDALE,24,10,William Penn Elementary School,ES,60623,222,166,45,204,16,1,0,1,0,0,There are 222 students enrolled at PENN.  74.8% are Low Income Students.  20.3% are Diverse Learners.  3.6% are Limited English Learners.,The largest demographic at PENN is Black.  This demographic makes up 91.9% of the student population.  The second greatest demographic is Hispanic at 7.2%.,Level 1,41.858372,-87.722386,POINT (-87.722386 41.858372),2,51.6,274
12,609863,Christopher Columbus Elementary School,60622,24,WEST TOWN,32,13,Christopher Columbus Elementary School,ES,60622,279,115,12,30,65,173,6,0,0,0,There are 279 students enrolled at COLUMBUS.  41.2% are Low Income Students.  4.3% are Diverse Learners.  27.2% are Limited English Learners.,The largest demographic at COLUMBUS is White.  This demographic makes up 62% of the student population.  The second greatest demographic is Hispanic at 23.3%.,Level 1,41.899566,-87.681938,POINT (-87.681938 41.899566),4,29.8,49
