,Category,School Year,# of Misconducts2,# of Group 1-2 (minor) Misconducts3,# of Group 3-4 (moderate) Misconducts4,# of Group 5-6 (major) Misconducts5,# of Police Notifications,% of Misconducts Resulting in Police Notification
582,Grade PK-2,0,5014,2353.0,2413.0,248.0,33.0,0.7
584,Grade PK-2,1,6012,3731.0,2140.0,141.0,48.0,0.8
586,Grade PK-2,2,5450,3481.0,1819.0,150.0,43.0,0.8
588,Grade PK-2,3,4655,2887.0,1637.0,131.0,46.0,1.0
590,Grade PK-2,4,4703,3135.0,1470.0,98.0,47.0,1.0
592,Grade PK-2,5,4648,3186.0,1264.0,198.0,26.0,0.6
594,Grade PK-2,6,1737,1059.0,633.0,45.0,17.0,1.0
596,Grade PK-2,7,288,197.0,80.0,11.0,1.0,0.3
598,Grade PK-2,8,2104,1182.0,863.0,59.0,14.0,0.7
600,Grade 3-5,0,13083,4892.0,7633.0,558.0,139.0,1.1
602,Grade 3-5,1,15935,8152.0,7253.0,530.0,147.0,0.9
604,Grade 3-5,2,16243,7888.0,7874.0,481.0,173.0,1.1
606,Grade 3-5,3,13740,7067.0,6206.0,467.0,177.0,1.3
608,Grade 3-5,4,13352,7367.0,5526.0,459.0,157.0,1.2
610,Grade 3-5,5,11349,6089.0,4753.0,507.0,95.0,0.8
612,Grade 3-5,6,5406,2387.0,2714.0,305.0,97.0,1.8
614,Grade 3-5,7,931,637.0,267.0,27.0,5.0,0.5
616,Grade 3-5,8,6701,2969.0,3377.0,355.0,69.0,1.0
618,Grade 6-8,0,25247,9095.0,13696.0,2456.0,976.0,3.9
620,Grade 6-8,1,26640,13111.0,11639.0,1890.0,908.0,3.4
622,Grade 6-8,2,26029,12930.0,11275.0,1824.0,835.0,3.2
624,Grade 6-8,3,23923,12280.0,9964.0,1679.0,700.0,2.9
626,Grade 6-8,4,20817,10258.0,8780.0,1779.0,697.0,3.3
628,Grade 6-8,5,20131,9757.0,8144.0,2230.0,571.0,2.8
630,Grade 6-8,6,10141,3934.0,5209.0,998.0,622.0,6.1
632,Grade 6-8,7,1437,786.0,582.0,69.0,33.0,2.3
634,Grade 6-8,8,15071,6102.0,7656.0,1313.0,401.0,2.7
636,Grade 9-12,0,77182,42561.0,29564.0,5057.0,3187.0,4.1
638,Grade 9-12,1,83937,49777.0,28806.0,5354.0,3106.0,3.7
640,Grade 9-12,2,74374,44073.0,25032.0,5269.0,2201.0,3.0
642,Grade 9-12,3,58121,39807.0,14560.0,3754.0,1755.0,3.0
644,Grade 9-12,4,58848,42689.0,12413.0,3746.0,1453.0,2.5
646,Grade 9-12,5,40707,23611.0,12219.0,4877.0,1054.0,2.6
648,Grade 9-12,6,31117,19187.0,10246.0,1684.0,850.0,2.7
650,Grade 9-12,7,1266,730.0,477.0,59.0,18.0,1.4
652,Grade 9-12,8,48472,33134.0,12189.0,3149.0,761.0,1.6
